angle, raw, median, harmonic, arithmetic
0.0, 255, 255, 255.0, 255
2.294949494949492, 255, 255, 255.0, 255
6.884848484848533, 255, 255, 255.0, 255
11.187878787878844, 218, 255, 247.98513011152417, 248
19.07676767676776, 255, 255, 247.98513011152417, 248
25.674747474747562, 255, 255, 247.98513011152417, 248
31.555555555555713, 255, 255, 247.98513011152417, 248
39.01414141414165, 255, 255, 247.98513011152417, 248
44.89494949494974, 255, 255, 247.98513011152417, 248
52.783838383838656, 255, 255, 255.0, 255
63.11111111111143, 255, 255, 255.0, 255
69.13535353535383, 255, 255, 255.0, 255
78.31515151515191, 255, 255, 255.0, 255
83.19191919191962, 255, 255, 255.0, 255
88.35555555555601, 255, 255, 255.0, 255
92.80202020202063, 255, 255, 255.0, 255
97.24848484848525, 255, 255, 255.0, 255
100.97777777777821, 255, 255, 255.0, 255
103.41616161616201, 255, 255, 255.0, 255
107.57575757575796, 255, 255, 255.0, 255
116.46868686868726, 255, 255, 255.0, 255
120.91515151515193, 255, 255, 255.0, 255
127.80000000000047, 255, 255, 255.0, 255
130.81212121212167, 255, 255, 255.0, 255
136.26262626262667, 255, 255, 255.0, 255
140.70909090909134, 255, 255, 255.0, 255
145.15555555555602, 255, 255, 255.0, 255
148.16767676767728, 255, 255, 255.0, 255
155.48282828282885, 255, 255, 255.0, 255
162.94141414141467, 10, 255, 50.1639344262295, 214
167.24444444444498, 9, 255, 26.455331412103746, 173
172.1212121212127, 8, 255, 17.247534053546268, 132
175.8505050505056, 8, 10, 12.794425087108014, 90
179.72323232323293, 7, 9, 9.870209661316334, 49
185.03030303030363, 8, 8, 8.230811105062601, 8
193.6363636363643, 9, 8, 8.107238605898123, 8
194.35353535353602, 9, 8, 8.107238605898123, 8
199.80404040404107, 10, 9, 8.390677025527191, 8
203.53333333333399, 12, 9, 8.90984089569829, 9
210.41818181818252, 12, 10, 9.773755656108596, 10
212.42626262626334, 15, 12, 10.800000000000002, 11
216.2989898989906, 15, 12, 11.73913043478261, 12
219.31111111111187, 14, 14, 12.727272727272728, 13
223.32727272727345, 14, 14, 13.548387096774194, 13
227.34343434343504, 14, 14, 13.92265193370166, 14
231.2161616161623, 14, 14, 14.31818181818182, 14
234.51515151515218, 15, 14, 14.31818181818182, 14
238.1010101010108, 15, 14, 14.31818181818182, 14
241.54343434343502, 17, 15, 14.76223294279807, 14
245.84646464646534, 10, 15, 13.792659368963296, 14
250.57979797979868, 8, 15, 12.280349720510246, 13
254.1656565656573, 8, 15, 11.066907775768536, 12
256.4606060606068, 7, 10, 9.703284258210646, 10
260.0464646464654, 7, 8, 8.638838475499092, 9
264.062626262627, 7, 8, 7.706422018348625, 7
267.2181818181826, 6, 7, 7.098591549295775, 7
271.80808080808157, 6, 7, 6.76510067114094, 6
277.402020202021, 7, 7, 6.631578947368422, 6
279.5535353535362, 7, 7, 6.631578947368422, 6
282.56565656565743, 7, 7, 6.631578947368422, 6
285.72121212121306, 8, 7, 6.76510067114094, 6
291.0282828282838, 8, 7, 7.098591549295775, 7
293.179797979799, 10, 8, 7.706422018348624, 7
297.05252525252627, 10, 8, 8.155339805825243, 8
302.07272727272834, 10, 10, 8.65979381443299, 8
307.5232323232334, 255, 10, 10.831858407079647, 50
313.83434343434453, 255, 10, 13.861834654586636, 91
320.8626262626274, 255, 255, 19.245283018867923, 132
326.74343434343547, 255, 255, 27.818181818181824, 173
329.038383838385, 255, 255, 50.1639344262295, 214
332.62424242424356, 255, 255, 255.0, 255
336.78383838383957, 215, 255, 247.3308270676692, 248
340.36969696969817, 241, 255, 245.02982629659394, 246
345.67676767676886, 215, 255, 237.94030253916802, 239
350.12323232323354, 255, 255, 237.94030253916802, 239
353.8525252525265, 255, 255, 237.94030253916802, 239
357.43838383838505, 255, 255, 237.94030253916802, 239
